Latitud	Longitud	Altitud
41,753422	-0,891713	322,8
41,753422	-0,891713	322,65
41,753422	-0,891715	322,5
41,753422	-0,891715	333,61
41,753422	-0,891717	393,43
41,753437	-0,891717	466,06
41,753517	-0,891745	540,76
41,753517	-0,891745	633,41
41,753517	-0,891745	676,59
41,753777	-0,891995	716,25
41,753864	-0,892132	743,98
41,754005	-0,892028	761,97
41,754093	-0,892133	772,8
41,754189	-0,892083	773,84
41,754257	-0,891977	699,37
41,754387	-0,891215	758,45
41,754463	-0,891303	754,07
41,754536	-0,891398	751,87
41,754612	-0,891507	750,69
41,754681	-0,891622	749,97
41,754753	-0,891732	750,36
41,75481	-0,891843	749,76
41,754868	-0,891963	749,07
41,754868	-0,891963	746,94
41,754868	-0,891963	745,5
41,754868	-0,891963	742,38
41,754868	-0,891963	738,76
41,754868	-0,891963	734,66
41,754868	-0,891963	730,65
41,754868	-0,891963	728,65
41,755039	-0,896983	725,7
41,755058	-0,897092	723,01
41,755047	-0,897143	720,17
41,754978	-0,897177	718,43
41,754932	-0,897197	716,41
41,754902	-0,897187	714,36
41,754902	-0,897187	712,54
41,754902	-0,89724	710,53
41,754929	-0,897345	708,59
41,754971	-0,897453	707,32
41,755016	-0,897558	705,79
41,755085	-0,897677	704,76
41,755157	-0,897785	703,76
41,755241	-0,897903	702,73
41,755314	-0,898022	700,99
41,755424	-0,898107	698,93
41,755569	-0,898132	696,62
41,755646	-0,898215	694,57
41,755711	-0,8983	692,39
41,755787	-0,898385	690,17
41,755863	-0,898468	688,68
41,755959	-0,898535	686,7
41,756042	-0,898603	682,73
41,75613	-0,89866	681,69
41,75613	-0,89866	681,36
41,756233	-0,898693	681,25
41,754242	-0,894178	679,4
41,752819	-0,89179	677,97
41,752579	-0,891413	676,85
41,75248	-0,89123	676,04
41,752422	-0,891102	674,63
41,752365	-0,890978	674,15
41,752331	-0,890835	673,21
41,752281	-0,890742	671,58
41,752213	-0,890663	668,7
41,752174	-0,890578	666,58
41,752144	-0,890498	663,65
41,752117	-0,89044	668,75
41,752098	-0,890352	660,62
41,752045	-0,890203	656,05
41,752022	-0,890098	654,96
41,751926	-0,889898	654,31
41,751816	-0,88968	653,15
41,751812	-0,889587	652,47
41,751759	-0,889432	652,08
41,75172	-0,889287	651,12
41,751671	-0,88915	651,59
41,751663	-0,889035	650,69
41,751652	-0,888905	649,99
41,751614	-0,88875	649,2
41,751579	-0,88861	648,55
41,751537	-0,888492	647,01
41,751476	-0,888397	645,87
41,751476	-0,888397	643,03
41,751476	-0,888397	642,06
41,751289	-0,888148	640,92
41,751244	-0,888058	639,79
41,751186	-0,887967	638,18
41,751129	-0,887877	636,13
41,751041	-0,88777	633
41,750896	-0,88765	630,51
41,75074	-0,887507	628,06
41,750645	-0,887373	625,61
41,750557	-0,887233	622,84
41,750473	-0,887093	620,51
41,750378	-0,886965	618,19
41,750217	-0,886748	613,36
41,750217	-0,886748	611,28
41,749973	-0,88644	607,32
41,749893	-0,886362	605,37
41,749786	-0,886288	604,74
41,749683	-0,886205	605,02
41,749565	-0,886128	605,71
41,749432	-0,885993	604,89
41,749321	-0,88589	603,81
41,749187	-0,885803	605,41
41,749031	-0,885682	604,74
41,748901	-0,885565	602,33
41,748901	-0,885565	601,17
41,748775	-0,885455	599,67
41,748775	-0,885455	601,17
41,748775	-0,885455	601,13
41,74839	-0,885195	599,76
41,74826	-0,885117	599,71
41,748131	-0,885037	598,93
41,747997	-0,884962	597,79
41,74786	-0,884887	596
41,747726	-0,884833	595,72
41,747597	-0,8848	594,77
41,747456	-0,88476	595,64
41,747326	-0,8847	595,09
41,747204	-0,884653	594,54
41,747051	-0,884583	594,58
41,74691	-0,88453	594,18
41,746777	-0,884485	595,27
41,746777	-0,884485	594,95
41,746777	-0,884485	595,43
41,746777	-0,884485	595,45
41,746777	-0,884485	594,75
41,746777	-0,884485	595,49
41,746777	-0,884485	594,64
41,746777	-0,884485	594,62
41,746777	-0,884485	595,74
41,746777	-0,884485	595,53
41,746777	-0,884485	594,4
41,746777	-0,884485	592,75
41,746777	-0,884485	591,47
41,746777	-0,884485	587,6
41,746777	-0,884485	586,66
41,746777	-0,884485	594,17
41,746777	-0,884485	579,83
41,746777	-0,884485	578,42
41,746777	-0,884485	577,2
41,746777	-0,884485	575,82
41,746777	-0,884485	573,42
41,746777	-0,884485	570,41
41,746777	-0,884485	567,79
